timestamp,carbon_intensity,renewable_pct,production_mw,consumption_mw,solar_mw,wind_mw,hydro_mw,gas_mw,coal_mw,import_es_mw,import_fr_mw,export_es_mw,export_fr_mw,temperature_c,wind_speed_ms,cloud_cover_pct,humidity_pct,pressure_hpa,hour,day_of_week,day_of_year,month,year,green_score,demand_signal,grid_balance_mw,self_sufficiency_pct
2023-01-01 00:00:00,88.99,57.93,4832.6,4848.8,6.6,1414.5,1237.2,679.3,257.9,50.3,6.4,0.0,27.3,3.7,0.0,20.4,52.4,1009.9,0,6,1,1,2023,100.0,0,-16.2,99.7
2023-01-01 01:00:00,78.9,63.64,4893.6,4666.0,9.7,1384.7,1364.9,684.5,268.1,162.9,89.9,0.0,0.0,6.4,1.9,97.6,39.0,1005.9,1,6,1,1,2023,100.0,0,227.6,104.9
2023-01-01 02:00:00,97.02,53.11,4184.8,4300.9,0.0,1291.5,984.3,666.1,206.6,0.0,0.0,88.3,44.7,8.1,5.7,50.0,54.0,1021.9,2,6,1,1,2023,100.0,0,-116.0,97.3
2023-01-01 03:00:00,119.12,70.48,4178.2,4964.2,35.9,1303.8,1104.0,550.5,166.3,0.0,0.0,454.9,295.0,10.9,6.2,0.0,48.5,1005.0,3,6,1,1,2023,100.0,1,-786.0,84.2
2023-01-01 04:00:00,95.75,42.8,4467.5,4582.5,0.0,1267.7,1166.9,652.5,282.0,0.0,0.0,106.2,57.8,10.4,4.5,57.4,57.6,1011.0,4,6,1,1,2023,98.5,0,-114.9,97.5
2023-01-01 05:00:00,105.38,64.94,4318.6,5057.3,0.0,1195.4,1094.1,604.8,209.0,1.6,63.5,443.8,301.2,8.9,9.6,58.4,52.3,1022.8,5,6,1,1,2023,100.0,1,-738.7,85.4
2023-01-01 06:00:00,148.35,51.34,4407.2,4972.6,0.0,1396.6,1094.1,625.4,225.5,48.9,0.0,357.7,223.5,7.1,10.5,58.7,52.6,1009.6,6,6,1,1,2023,98.4,1,-565.4,88.6
2023-01-01 07:00:00,144.07,55.07,4831.8,6085.1,226.9,1409.5,1187.5,690.7,183.9,0.0,22.3,757.4,510.0,9.7,8.3,92.6,40.5,1006.9,7,6,1,1,2023,94.8,1,-1253.3,79.4
2023-01-01 08:00:00,131.43,46.72,5543.8,6118.0,507.5,1552.2,1448.2,747.1,296.2,21.1,17.8,320.4,242.9,14.2,5.0,33.1,47.1,1020.3,8,6,1,1,2023,94.7,1,-574.2,90.6
2023-01-01 09:00:00,157.92,42.73,6176.5,5924.7,787.8,1763.0,1580.0,920.2,285.1,143.0,114.6,44.3,12.6,11.4,6.9,65.7,69.9,1009.4,9,6,1,1,2023,85.7,0,251.8,104.3
2023-01-01 10:00:00,146.14,40.57,6570.6,6421.2,989.1,2020.2,1667.6,952.6,318.0,86.5,88.5,0.0,26.7,6.2,6.6,49.7,26.0,1003.9,10,6,1,1,2023,88.6,0,149.4,102.3
2023-01-01 11:00:00,150.08,39.26,7194.6,6401.5,1301.7,2307.7,1839.0,1039.6,355.6,448.1,305.8,13.0,17.1,9.7,0.0,58.1,36.6,1016.2,11,6,1,1,2023,76.3,-1,793.1,112.4
2023-01-01 12:00:00,164.16,28.92,7089.1,6753.8,1302.3,2223.2,1767.2,949.6,392.2,198.3,95.6,21.5,7.8,7.6,3.5,40.7,36.4,1016.8,12,6,1,1,2023,74.5,0,335.3,105.0
2023-01-01 13:00:00,123.98,36.98,7365.2,7060.6,1274.3,2031.1,1900.6,1121.9,419.7,161.5,111.7,0.0,0.0,2.7,4.6,64.4,44.8,1009.4,13,6,1,1,2023,87.9,0,304.6,104.3
2023-01-01 14:00:00,123.36,21.64,7378.8,7202.8,1143.6,2204.5,1793.3,1045.8,378.5,119.8,112.1,12.5,9.4,7.6,4.4,48.0,49.2,1013.2,14,6,1,1,2023,81.8,0,176.0,102.4
2023-01-01 15:00:00,137.91,29.72,7443.5,6661.9,914.2,2310.6,1869.1,1022.0,389.4,443.3,318.6,0.0,4.5,1.1,9.8,60.4,39.9,1014.1,15,6,1,1,2023,89.1,-1,781.6,111.7
2023-01-01 16:00:00,121.49,37.12,8031.4,6659.6,694.8,2269.2,2005.3,1075.3,410.3,820.6,532.7,11.0,4.8,2.9,10.2,56.4,49.1,1018.7,16,6,1,1,2023,97.8,-1,1371.9,120.6
2023-01-01 17:00:00,135.71,40.62,7372.2,6874.6,409.0,2365.5,1827.7,998.1,355.5,302.4,211.8,5.7,0.0,-2.7,2.0,46.4,47.9,1013.3,17,6,1,1,2023,84.7,0,497.7,107.2
2023-01-01 18:00:00,103.34,40.0,7158.2,6717.7,0.0,1976.3,1795.5,993.5,311.5,332.8,177.3,51.1,18.9,-2.0,6.2,57.4,39.2,1009.8,18,6,1,1,2023,97.7,0,440.4,106.6
2023-01-01 19:00:00,83.89,37.65,6429.4,5925.0,124.4,1986.3,1563.5,728.8,360.6,309.3,186.7,0.0,0.0,1.8,1.9,52.3,32.6,1012.1,19,6,1,1,2023,95.5,0,504.3,108.5
2023-01-01 20:00:00,126.03,50.57,6503.1,6029.6,0.0,1917.6,1818.5,1002.3,335.7,314.6,178.5,0.0,27.9,0.9,6.0,59.3,44.8,1009.8,20,6,1,1,2023,96.8,0,473.5,107.9
2023-01-01 21:00:00,87.28,43.5,6184.3,5192.9,16.6,1876.0,1634.5,903.9,317.4,626.5,413.8,0.0,13.0,3.2,10.3,38.1,53.6,1017.5,21,6,1,1,2023,100.0,-1,991.5,119.1
2023-01-01 22:00:00,86.18,64.08,5922.7,5128.6,10.2,1785.0,1568.6,897.0,330.0,515.7,328.9,0.0,0.0,5.3,5.4,44.6,54.0,1018.8,22,6,1,1,2023,100.0,-1,794.1,115.5
2023-01-01 23:00:00,55.3,54.34,5426.4,4676.8,1.6,1544.8,1404.0,753.2,241.5,434.7,306.2,31.4,0.0,2.2,8.0,7.6,34.8,1015.9,23,6,1,1,2023,100.0,-1,749.6,116.0
2023-01-02 00:00:00,69.81,46.26,4903.9,4663.4,0.0,1522.1,1298.0,747.3,221.8,141.0,105.8,0.0,0.0,5.4,7.8,26.4,61.1,1018.5,0,0,2,1,2023,100.0,0,240.5,105.2
2023-01-02 01:00:00,82.95,50.18,4653.5,5099.1,0.0,1374.5,1234.2,691.0,235.9,0.7,0.0,262.3,144.1,7.8,9.7,3.4,34.2,1015.6,1,0,2,1,2023,100.0,1,-445.6,91.3
2023-01-02 02:00:00,64.21,59.37,4530.9,4586.8,8.8,1414.7,1113.0,653.6,244.8,45.2,21.1,14.2,21.0,9.9,6.8,29.6,58.3,1019.0,2,0,2,1,2023,100.0,0,-55.9,98.8
2023-01-02 03:00:00,98.03,59.55,4530.0,4573.2,0.0,1297.2,1111.6,617.7,241.2,26.6,0.0,41.8,6.8,6.5,4.2,87.0,65.0,1017.0,3,0,2,1,2023,100.0,0,-43.2,99.1
2023-01-02 04:00:00,88.72,70.87,4906.1,4625.2,54.4,1448.6,1167.6,715.3,270.3,130.2,125.5,40.1,22.6,6.9,8.4,30.2,45.0,1006.3,4,0,2,1,2023,100.0,0,280.8,106.1
